PontoDemanda,PHC,Fluxo
1,36,783.00
2,44,591.00
3,36,726.00
4,36,474.00
5,31,571.00
6,31,920.00
7,31,835.00
8,44,579.00
9,1,396.00
9,1,259.00
10,1,596.00
11,44,496.00
12,44,340.00
13,31,388.00
14,44,500.00
15,31,603.00
16,44,681.00
17,31,596.00
18,36,704.00
19,36,607.00
19,36,273.00
20,1,771.00
21,1,324.00
22,1,335.00
23,44,338.00
24,1,441.00
25,31,513.00
26,44,507.00
27,31,462.00
28,31,160.00
28,31,345.00
29,44,634.00
30,31,686.00
31,10,354.00
32,16,444.00
33,16,452.00
34,10,560.00
35,31,537.00
36,10,733.00
37,36,867.00
38,1,580.00
39,3,681.00
40,2,224.00
41,2,597.00
42,2,469.00
43,2,551.00
44,25,477.00
45,25,526.00
46,25,505.00
47,1,535.00
48,12,710.00
49,12,574.00
50,12,333.00
51,12,753.00
52,12,710.00
53,12,424.00
54,12,579.00
55,17,761.00
56,17,700.00
57,25,446.00
58,30,503.00
59,17,620.00
60,17,791.00
61,17,754.00
62,17,549.00
63,25,372.00
64,25,620.00
65,25,396.00
66,25,472.00
67,25,676.00
68,25,471.00
69,25,287.00
70,25,187.00
71,11,546.00
72,11,505.00
73,11,429.00
74,41,631.00
75,41,480.00
76,41,605.00
77,2,319.00
78,41,609.00
79,41,615.00
80,41,824.00
81,43,550.00
82,23,452.00
83,32,344.00
84,32,602.00
85,32,461.00
86,32,721.00
87,23,499.00
88,23,500.00
89,33,668.00
90,33,703.00
91,33,765.00
92,34,571.00
93,13,870.00
94,13,599.00
95,13,806.00
96,13,746.00
97,41,302.00
98,7,780.00
99,41,364.00
100,7,797.00
101,26,463.00
102,26,618.00
103,36,369.00
104,36,708.00
105,44,595.00
106,2,605.00
107,2,460.00
108,2,495.00
109,5,687.00
110,5,237.00
110,5,157.00
111,5,319.00
112,5,601.00
113,22,356.00
114,22,496.00
115,22,447.00
116,22,540.00
117,2,707.00
118,36,378.00
119,31,716.00
120,36,580.00
121,44,568.00
122,29,4.00
123,16,69.00
123,16,593.00
124,29,743.00
125,29,539.00
126,29,645.00
127,29,942.00
128,31,463.00
129,31,630.00
130,38,512.00
131,38,512.00
132,38,739.00
133,38,850.00
134,10,411.00
135,10,204.00
136,10,366.00
136,10,279.00
137,3,408.00
138,3,585.00
139,3,744.00
140,28,298.00
141,28,452.00
142,28,541.00
143,28,600.00
144,28,605.00
145,6,806.00
146,42,693.00
147,42,700.00
148,42,1000.00
149,3,1099.00
150,3,622.00
151,6,1113.00
152,6,576.00
153,3,755.00
154,6,540.00
155,15,530.00
156,43,744.00
157,43,300.00
158,24,33.00
159,18,36.00
160,22,267.00
161,8,26.00
162,24,424.00
163,38,5.00
164,8,848.00
165,28,204.00
166,28,423.00
167,28,76.00
168,21,250.00
169,21,427.00
170,21,315.00
171,31,529.00
172,36,371.00
173,36,389.00
174,1,674.00
175,1,274.00
176,1,751.00
177,44,224.00
178,16,309.00
179,31,319.00
180,16,268.00
181,36,790.00
182,1,829.00
183,1,471.00
184,1,415.00
185,2,356.00
186,25,6.00
186,25,631.00
187,25,519.00
188,25,424.00
189,25,448.00
190,41,423.00
191,43,449.00
192,32,600.00
193,45,467.00
194,33,114.00
194,33,475.00
195,27,995.00
196,13,683.00
197,41,472.00
198,7,290.00
199,26,667.00
200,7,343.00
201,2,407.00
202,2,449.00
203,2,372.00
204,5,576.00
205,5,976.00
206,22,788.00
207,2,631.00
208,22,576.00
209,2,402.00
209,2,259.00
210,36,346.00
211,44,569.00
212,36,474.00
213,38,531.00
214,38,391.00
215,16,626.00
216,3,488.00
217,28,985.00
218,28,626.00
219,28,559.00
220,28,423.00
221,42,898.00
222,3,687.00
223,6,672.00
224,6,537.00
225,20,933.00
226,15,926.00
227,43,657.00
228,11,506.00
229,24,19.00
230,24,568.00
231,24,551.00
232,45,41.00
233,28,380.00
234,1,332.00
235,1,4.00
236,31,249.00
237,36,435.00
238,2,495.00
239,2,231.00
240,12,329.00
241,12,187.00
242,12,206.00
243,17,683.00
244,17,26.00
245,30,734.00
246,17,27.00
247,17,530.00
248,25,243.00
249,23,492.00
250,23,392.00
251,23,611.00
252,32,540.00
253,32,921.00
254,45,796.00
255,45,762.00
256,33,754.00
257,33,581.00
258,33,936.00
259,33,1064.00
260,7,44.00
261,33,78.00
262,33,856.00
263,33,972.00
264,33,112.00
265,34,699.00
266,34,111.00
267,39,81.00
268,26,760.00
269,2,256.00
270,2,454.00
271,5,24.00
272,5,588.00
273,22,387.00
274,29,462.00
275,4,654.00
276,4,316.00
277,16,552.00
278,16,81.00
280,3,82.00
280,3,280.00
281,10,2.00
282,4,174.00
283,42,562.00
284,3,521.00
285,6,15.00
286,20,144.00
287,20,21.00
